Nolan,Abilene,Sweetwater
Nueces,Corpus Christi,Corpus Christi
Ochiltree,Amarillo,Perryton
Oldham,Amarillo,Vega
Orange,Beaumont,Orange
Palo Pinto,Fort Worth,Mineral Wells
Panola,Atlanta,Carthage
Parker,Fort Worth,Weatherford
Parmer,Lubbock,Friona
Pecos,Odessa,Fort Stockton
Polk,Lufkin,West Livingston
Potter,Amarillo,Amarillo
Presidio,El Paso,Presidio
Rains,Paris,Emory
Randall,Amarillo,Amarillo
Reagan,San Angelo,Big Lake
Real,San Angelo,Camp Wood
Red River,Paris,Clarksville
Reeves,Odessa,Pecos
Refugio,Corpus Christi,Refugio
Roberts,Amarillo,Miami
Robertson,Bryan,Hearne
Rockwall,Dallas,Dallas
Runnels,San Angelo,Ballinger
Rusk,Tyler,Henderson
Sabine,Lufkin,Milam
San Augustine,Lufkin,San Augustine
San Jacinto,Lufkin,Shepherd
San Patricio,Corpus Christi,Corpus Christi
San Saba,Brownwood,San Saba
Schleicher,San Angelo,Eldorado
Scurry,Abilene,Snyder
Shackelford,Abilene,Albany
Shelby,Lufkin,Center
Sherman,Amarillo,Stratford
Smith,Tyler,Tyler
Somervell,Fort Worth,Glen Rose
Starr,Pharr,Rio Grande City
Stephens,Brownwood,Breckenridge
Sterling,San Angelo,Sterling City
Stonewall,Yoakum,Aspermont
Sutton,San Angelo,Sonora
Swisher,Lubbock,Tulia
Tarrant,Fort Worth,Fort Worth
Taylor,Abilene,Abilene
Terrell,Odessa,Sanderson
Terry,Lubbock,Brownfield
Throckmorton,Wichita Falls,Throckmorton
Titus,Atlanta,Mount Pleasant
Tom Green,San Angelo,San Angelo
Travis,Austin,Austin
Trinity,Lufkin,Trinity
Tyler,Beaumont,Woodville
Upshur,Atlanta,Gladewater
Upton,Odessa,McCamey
Uvalde,San Antonio,Uvalde
Val Verde,Laredo,Del Rio
Van Zandt,Tyler,Canton
Victoria,Yoakum,Victoria
Walker,Bryan,Huntsville
Waller,Houston,Prairie View
Ward,Odessa,Monahans
Washington,Bryan,Brenham
Webb,Laredo,Laredo
Wharton,Yoakum,El Campo
Wheeler,Childress,Shamrock
Wichita,Wichita Falls,Wichita Falls
Wilbarger,Wichita Falls,Vernon
Willacy,Pharr,Raymondville
Williamson,Austin,Round Rock
Wilson,San Antonio,Floresville
Winkler,Odessa,Kermit
Wise,Fort Worth,Decatur
Wood,Tyler,Mineola
Yoakum,Lubbock,Denver City
Young,Wichita Falls,Graham
Zapata,Pharr,Zapata
Zavala,Laredo,Crystal City
